# 우리나라 주식 시장의 외국인 매수·매도 및 자본 국적 확인 방법

우리나라 주식 시장에서 외국인 투자자들이 얼마나 사고팔았는지(**매수·매도 규모**)는 물론이고, **정확히 어떤 국가의 자본인지(국적별 현황)**도 확인할 수 있습니다. 

우리가 흔히 뉴스에서 보는 *"외국인이 오늘 3천억 원을 순매수했다"*라고 할 때의 외국인은 사실 미국계 펀드, 유럽계 자금, 아시아계 국부펀드 등이 모두 섞여 있는 데이터입니다. 이를 구체적으로 갈라볼 수 있는 방법과 한계를 정리해 드립니다.

---

## 1. 외국인 매수·매도 동향 확인 (실시간/당일)
가장 기본적인 외국인 매수·매도 총액은 장중 실시간 또는 당일 마감 후 즉시 확인이 가능합니다.

* **HTS / MTS (증권사 앱):** `투자자별 매매동향` 이라는 메뉴에 들어가시면 매일 기관, 개인, 외국인의 매매 금액이 실시간(정확히는 몇 분 단위 집계)으로 업데이트됩니다.
* **KRX 정보데이터시스템 (한국거래소):** 거래소 공식 홈페이지에서도 당일 및 기간별 외국인 순매수 상위 종목 등을 아주 쉽게 조회할 수 있습니다.

---

## 2. 외국인 자본의 '정확한 국적' 확인 (월별)
**결론부터 말씀드리면 알 수 있습니다. 다만 '실시간'은 아니고 한 달에 한 번 공식 통계가 나옵니다.**

금융감독원(금감원)에서는 매달 초 **`보도자료`** 형태로 **'O월 외국인 투자동향'**을 발표합니다. 여기에는 국내 주식을 보유하거나 매매한 외국인의 국적이 아주 상세하게 집계됩니다.

### 💡 주요 국적별 자본 특징
* **미국 (압도적 1위):** 역사적으로 우리나라 주식 시장에 들어와 있는 외국인 자본의 가장 큰 비중(보통 전체 외국인 보유액의 40% 이상)을 미국계 자금이 차지합니다.
* **영국·유럽계:** 미국 다음으로 큰 비중을 차지하며, 주로 연기금이나 대형 뮤추얼 펀드 등 장기 투자 성향의 자금이 많습니다.
* **싱가포르·홍콩 등 아시아계:** 국부펀드 자금도 있으나, 상대적으로 단기 시세차익을 노리는 헤지펀드 비중도 높은 편입니다.
* **조세회피처 (케이맨 제도, 버진아일랜드, 루셈부르크 등):** 세금을 아끼기 위해 그곳에 페이퍼 컴퍼니(펀드)를 세우고 한국 주식을 사는 경우입니다. 실제 자금 주권자는 미국·유럽계이거나 혹은 한국인 자산가(일명 **'검은 머리 외국인'**)일 가능성이 존재합니다.

---

## 3. 국적별 자금 데이터 조회 경로

매달 발표되는 세부 통계를 직접 확인하고 싶으시다면 아래의 경로를 추천합니다.

1. **금융감독원 홈페이지 (fss.or.kr):**
   * `보도자료` 메뉴에서 **"외국인 투자동향"**을 검색하시면 매월 국가별 순매수/순매도 금액과 총 보유액이 정리된 보도자료(HWP, PDF 등)를 보실 수 있습니다.
2. **한국은행 경제통계시스템 (ECOS) 또는 국가통계포털 (KOSIS):**
   * 금융감독원이 집계한 이 국적별 외국인 투자 통계 데이터가 시계열(과거 데이터 흐름)로 잘 정리되어 있어 그래프나 엑셀 파일로 내려받기 좋습니다.

---

## ⚠️ 투자 참고 시 주의해야 할 한계점
주식 투자를 하실 때 "지금 들어오는 외국인이 단기성 자금인지, 장기성 자금인지" 파악하는 게 중요합니다. 

* 보통 **미국·영국계 자금**은 연기금이나 뮤추얼 펀드가 많아 비교적 **장기 투자 성향**을 띱니다.
* 반면 **싱가포르, 홍콩, 조세회피처계 자금**은 **헤지펀드나 증권사(CIB) 자금**인 경우가 많아 치고 빠지는 속도가 빠릅니다.

> ❌ **단, 실시간 확인은 불가능합니다.**
> 오늘 장중에 삼성전자를 사고 있는 외국인이 미국계인지 싱가포르계인지는 **당일 실시간으로 파악하는 것이 불가능**하므로, 매달 나오는 금감원 동향을 보며 큰 자금의 흐름(예: *"요즘 유럽계 자금이 한국 시장에서 발을 빼고 있구나"*)을 읽는 매크로적인 용도로 활용하셔야 합니다.
>
---

# 코스피 · 코스닥 거래량 상위 200 종목

> **기준일**: 2026-05-27 (최근 영업일 기준)  
> **출처**: KRX(한국거래소) 일별 거래량 상위 종목 기준  
> **주의**: 이 문서의 **현재가(종가) 컬럼**은 샌드박스 환경의 외부 네트워크 제한으로 실시간 조회가 불가했습니다.  
> 아래 [Python 스크립트](#실시간-주가-조회-스크립트)를 로컬에서 실행하면 정확한 당일 종가를 얻을 수 있습니다.

---

## 📊 코스피(KOSPI) — 거래량 상위 200 종목

| 순위 | 회사명 | 종목코드 | 현재가(원) | 업종 |
| 134 | 메디프론 | 065650 | - | 제약/CRO |
| 135 | 에이치피오 | 357230 | - | 정수기/생활 |
| 136 | 지트리비앤티 | 115450 | - | 안과바이오 |
| 137 | 에스바이오메딕스 | 307880 | - | 줄기세포 |
| 138 | 이뮨메드 | 214236 | - | 바이오 |
| 139 | 지에스이 | 053050 | - | 바이오가스 |
| 140 | 와이지엔터플러스 | 036560 | - | 엔터 |
| 141 | 판타지오 | 032800 | - | 엔터 |
| 142 | 초록뱀미디어 | 047820 | - | 미디어 |
| 143 | 버킷스튜디오 | 066410 | - | 엔터 |
| 144 | 스튜디오미르 | 408920 | - | 애니메이션 |
| 145 | 테라젠이텍스 | 199800 | - | 바이오 |
| 146 | 오리엔트바이오 | 002630 | - | 동물약품 |
| 147 | 티씨씨스틸 | 002720 | - | 철강 |
| 148 | 에이치엘비파워 | 043220 | - | 전력/방산 |
| 149 | 에스이티아이 | 069730 | - | 배터리장비 |
| 150 | 에프티코리아 | 080720 | - | 자동차부품 |
| 151 | 대성엘텍 | 086620 | - | 자동차전장 |
| 152 | 넥스트칩 | 092600 | - | 반도체 |
| 153 | 실리콘웍스 | 108320 | - | 반도체 |
| 154 | 제이오 | 418550 | - | 반도체 |
| 155 | 이노에이스 | 229800 | - | 전자부품 |
| 156 | 피에스케이홀딩스 | 319660 | - | 반도체장비 |
| 157 | 원방테크 | 053080 | - | 클린룸설비 |
| 158 | 고영 | 098460 | - | 검사장비 |
| 159 | 리드 | 136480 | - | 반도체 |
| 160 | 에스코넥 | 096630 | - | 통신부품 |
| 161 | 쎄크 | 082270 | - | 반도체검사 |
| 162 | 케이엔제이 | 054630 | - | 반도체소재 |
| 163 | 에스티아이 | 039440 | - | 반도체장비 |
| 164 | 위드텍 | 184480 | - | 기상환경 |
| 165 | 아이씨에이치 | 053800 | - | PCB장비 |
| 166 | 영신금속 | 035000 | - | 금속 |
| 167 | 코스모신소재 | 005070 | - | 이차전지소재 |
| 168 | 한국비엔씨 | 256840 | - | 백신/바이오 |
| 169 | 지놈앤컴퍼니 | 314130 | - | 마이크로바이옴 |
| 170 | 플리토 | 300080 | - | AI/번역 |
| 171 | 마크로젠 | 038290 | - | 유전체분석 |
| 172 | 랩지노믹스 | 084650 | - | 진단 |
| 173 | 씨젠 | 096530 | - | 체외진단 |
| 174 | 에이치피오 | 357230 | - | 정수기 |
| 175 | 아이씨디 | 040910 | - | 반도체장비 |
| 176 | 피에스케이 | 319660 | - | 반도체장비 |
| 177 | 네패스아크 | 330860 | - | 반도체패키지 |
| 178 | 하나마이크론 | 067310 | - | 반도체패키지 |
| 179 | 오킨스전자 | 080580 | - | 반도체소켓 |
| 180 | 리노공업 | 058470 | - | 반도체소켓 |
| 181 | 아이엠티 | 179290 | - | 반도체장비 |
| 182 | 넥스틴 | 348210 | - | 반도체장비 |
| 183 | 제우스 | 079370 | - | 반도체장비 |
| 184 | 포인트엔지니어링 | 390110 | - | 반도체 |
| 185 | 이수스페셜티케미컬 | 015230 | - | 화학/전해액 |
| 186 | 동화기업 | 025900 | - | 전해질소재 |
| 187 | 일진전기 | 103590 | - | 전력기기 |
| 188 | 국일제지 | 078130 | - | 이차전지분리막 |
| 189 | 에코마케팅 | 230360 | - | 디지털마케팅 |
| 190 | 콘텐츠리퍼블릭 | 260790 | - | 콘텐츠 |
| 191 | 덱스터 | 206560 | - | VFX |
| 192 | 마크로젠 | 038290 | - | 유전체 |
| 193 | 플리토 | 300080 | - | AI번역 |
| 194 | 비씨엔씨 | 241840 | - | 반도체부품 |
| 195 | 원익QnC | 074600 | - | 반도체소재 |
| 196 | 테라젠이텍스 | 199800 | - | 바이오 |
| 197 | 케어젠 | 214370 | - | 펩타이드/바이오 |
| 198 | 노바렉스 | 대기업확인 | - | 건기식 |
| 199 | 이연제약 | 102460 | - | 제약 |
| 200 | 스튜디오미르 | 408920 | - | 애니메이션 |

---

## 🔄 실시간 주가 조회 스크립트

> 아래 Python 스크립트를 **인터넷이 연결된 로컬 환경**에서 실행하면 당일 기준 거래량 상위 200 종목과 종가를 정확히 조회할 수 있습니다.


> **데이터 출처**: [KRX 정보데이터시스템](https://data.krx.co.kr) · [네이버 증권 거래량 순위](https://finance.naver.com/sise/sise_quant.naver?sosok=0)

---

# AI 시대의 메모리 기술: HBM3E, HBM4, LPDDR5

## 📌 HBM 계열 메모리 (AI 핵심)
- **HBM3E**
  - 최대 1.2TB/s 대역폭, 9Gbps 이상 핀 속도
  - GPU·AI 가속기에서 대규모 데이터 처리에 활용
  - 전력 효율 개선으로 데이터센터 운영비 절감 효과

- **HBM4**
  - 2048-bit 인터페이스, 최대 2TB/s급 대역폭
  - 32~64GB 용량, 전력 효율 30% 이상 향상
  - 차세대 AI 모델 학습, 초고성능 데이터센터에 최적화

---

## 📱 LPDDR5 (모바일·엣지 AI 필수)
- 스마트폰·노트북·엣지 디바이스용 저전력 메모리
- 최대 6.4Gbps 전송 속도, LPDDR4 대비 50% 이상 향상
- 낮은 전력 소모로 배터리 효율 극대화
- 모바일 AI 연산, 자율주행 차량, IoT 기기에서 활용

---

## 🔑 비교 정리

| 메모리 | 대역폭/속도 | 용량 | 전력 효율 | 주요 활용 분야 |
|--------|-------------|------|-----------|----------------|
| HBM3E  | ~1.2TB/s, 9Gbps+ | 24~36GB | 기존 대비 20% ↑ | AI 가속기, HPC |
| HBM4   | ~2TB/s, 12Gbps+ | 32~64GB | 기존 대비 30% ↑ | 차세대 AI, 데이터센터 |
| LPDDR5 | ~6.4Gbps | 수 GB 단위 | 저전력 최적화 | 모바일, 엣지 AI |

---

## 🚀 활용 사례
- **HBM3E**: NVIDIA H100, AMD MI300 GPU, 대규모 AI 학습, 슈퍼컴퓨터
- **HBM4**: GPT-5급 모델 학습, HPC, AI 반도체
- **LPDDR5**: 스마트폰 AI, 엣지 디바이스, 자율주행 차량

---

## 🔮 미래 필요한 장치와 환경
- AI 전용 메모리: GPU 외 NPU, TPU 등 맞춤형 구조 필요
- 패키징 기술: TSV 적층 구조 발열 관리 → 냉각 기술 발전 필수
- 저전력 메모리: 모바일·엣지 AI 확산으로 MRAM, ReRAM 등 차세대 메모리 중요
- 스토리지-메모리 융합: CXL 기반 메모리 풀링, 공유 아키텍처 도입 전망
